4951_第四九八章 天下靡靡 小城大事（上）
5980_第四九九章 天下靡靡 小城大事（下）
3658_第五〇〇章 远行者之秋
4737_第五〇一章 弃子与鲤鱼（上）
3421_第五〇二章 弃子与鲤鱼（下）
4636_第五〇三章 求道本末 何以为战
5287_第五〇四章 汹汹物议 故旧相疑
4375_第五〇五章 铁蹄踏碎千般业
7360_第五〇六章 仁善之家 天下福祉
4234_第五〇七章 好人恶报 针尖麦芒
3540_第五〇八章 雷霆
2_对了，推荐两本书。
6139_第五〇九章 豪情热血 恐怖冰凉（上）
6178_第五一〇章 豪情热血 恐怖冰凉（下）
125_单章求月票！
6518_第五一一章 人间悠唱 天上繁星
8039_第五一二章 谶语如迷 雪落无声（上）
63_更新又到凌晨，此后不单章预告了。
4848_第五一三章 谶语如迷 雪落无声（中）
4403_第五一四章 谶语如迷 雪落无声（下）
5720_第五一五章 天下为难 无人认错
4602_第五一六章 眼底光辉 掌中烛火（上）
4822_第五一七章 眼底光辉 掌中烛火（下）
5968_第五一八章 龙抬头
1_小结兼求票
4308_第五一九章 可歌可泣 绿林传说
4203_第五二〇章 混沌杀场 孰是好人
5371_第五二一章 吃面、玩笑
6297_第五二二章 世间繁琐 丑陋污浊
5525_第五二四章 两年奠基 巨舰雏形
5215_第五二五章 人心纷乱 吕梁山前
6961_第五二六章 绵延山路 浴血菩提
4594_第五二七章 英雄好汉 祸水红颜（上）
4082_第五二八章 英雄好汉 祸水红颜（中）
4086_第五二九章 英雄好汉 祸水红颜（下）
3677_第五三〇章 田家军吕梁显身手 于玉麟一日战双魔
4187_第五三一章 为剑谷畔 相遇阶前
3590_第五三二章 琢磨为玉石 风化为尘沙
47_532章做了修改。
3877_第五三三章 孤寂的天堂 疯人的伊甸（上）
3762_第五三四章 孤寂的天堂 疯人的伊甸（下）
4817_第五三五章 传续
3029_第五三六章 承接
6552_第五三七章 狂风暴雨 落棋之声
3305_第五三八章 青木寨主 磊落光明
4292_第五三九章 战地情天 只如初见
3319_第五四〇章 如真如幻 假想之敌（上）
5036_第五四一章 如真如幻 假想之敌（下）
5040_第五四二章 重逢见面 开口何言（上）
40_上旬已过，求个月票。
6118_第五四三章 重逢见面 开口何言（下）
4266_第五四四章 宗师之会 吕梁巅峰（一）
4992_第五四五章 宗师之会 吕梁巅峰（二）
7310_第五四六章 宗师之会 吕梁巅峰（三）
3569_第五四七章 宗师之会 吕梁巅峰（四）
3757_第五四八章 喜乐悲欢 孰能尽算（上）
3742_第五四九章 喜乐悲欢 孰能尽算（下）
4247_第五五〇章 如切如磋 如琢如磨
5044_第五五一章 作战名：殴打小朋友
118_下旬已到，求月票。
6531_第五五二章 过去的伤 未来的路（六千字大章）
4754_第五五三章 执子之手 与子成说
7006_第五五四章 款款宁夏 脉脉浮云
5935_第五五五章 天地如炉 万物为铜
7832_第五五六章 风筝有风 海豚有海（八千字大章）
2_奠基完成，纪念一下，大家可以看看这个。
3849_第五五七章 相聚之秋（上）
3090_第五五八章 相聚之秋（中）
3916_第五五九章 相聚之秋（下）
146_月初，求月票。
5121_第五六〇章 傲慢与偏见 耍赖跟诈糊
3954_第五六一章 当时的曲调（上）
3649_第五六二章 当时的曲调（下）
4794_第五六三章 苍雷（一）
4470_第五六四章 苍雷（二）
4261_第五六五章 苍雷（三）
7464_第五六六章 苍雷（四）
208_过了月中，求个月票吧
3730_第五六七章 苍雷（五）
3782_第五六八章 天外孤鸿 刹那光火（上）
5590_第五六九章 天外孤鸿 刹那光火（下）
5366_第五七〇章 天南地北 此去畏途（上）
113_诚恳道歉及570章文章修改
4652_第五七一章 天南地北 此去畏途（下）
6700_第五七二章 洪流（上）
7072_第五七三章 洪流（下）
3310_第五七四章 无锋之烙 无泪之城（上）
4097_第五七五章 无锋之烙 无泪之城（下）
5350_第五七六章 一代宗师 英雄再见
3_第六集小结
4065_第五七七章 人间事 祭魂酒（上）
11_2014年的最后一天了，求月票！！！
3257_第五七八章 人间事 祭魂酒（下）
173_元旦快乐！！！
25_今晚没有，不要等。
3949_第五七九章 狂乱前兆 因果逆流（上）
4244_第五八〇章 狂乱前兆 因果逆流（下）
4669_第五八一章 兵锋掠地 难挽狂澜
7888_第五八二章 泽国江山入战图（一）
4893_第五八三章 泽国江山入战图（二）
256_拜个年，以及新年计划。
3931_第五八四章 泽国江山入战图（三）
5538_第五八五章 泽国江山入战图（四）
4299_第五八六章 泽国江山入战图（五）
4029_第五八七章 纵横铁骑 风雨长戈（一）
4013_第五八八章 纵横铁骑 风雨长戈（二）
3758_第五八九章 纵横铁骑 风雨长戈（三）
4112_第五九〇章 纵横铁骑 风雨长戈（四）
4337_第五九一章 纵横铁骑 风雨长戈（五）
7047_第五九二章 凝冬雪海 生死巨轮（一）
4216_第五九三章 凝冬雪海 生死巨轮（二）
4487_第五九四章 凝冬雪海 生死巨轮（三）
6554_第五九五章 凝冬雪海 生死巨轮（四）
4134_第五九六章 凝冬雪海 生死巨轮（五）
3112_第五九七章 凝冬雪海 生死巨轮（六）
6916_第五九八章 凝冬雪海 生死巨轮（七）
5659_第五九九章 凝冬雪海 生死巨轮（八）
10766_第六百章 悲凄杀戮 漫长血河（一）
5807_第六〇一章 悲凄杀戮 漫长血河（二）
5629_第六〇二章 悲凄杀戮 漫长血河（三）
5252_第六〇三章 超越刀锋（一）
10272_第六〇四章 超越刀锋（二）
5_海洋（三十岁生日随笔）
5407_第六〇五章 超越刀锋（三）
7108_第六〇六章 超越刀锋（四）
6363_第六〇七章 超越刀锋（五）
218_对近来几章更新一点小事说明一下
5640_第六〇八章 超越刀锋（六）
7577_第六〇九章 超越刀锋（七）
179_月底了，看见很多朋友又有票了，求票啊！
6532_第六一〇章 超越刀锋（八）
5300_第六一一章 超越刀锋（九）
